opening_acts2,join_tour,leave_tour,join_tour.did,leave_tour.did,min.date_id,max.date_id,n_dates_on.tour,n_dates_performing
Broods,2018-10-19,2018-11-09,47,51,47,51,5,5
Camila_Cabello,2018-05-08,2018-10-06,1,46,1,46,46,45
Charli_XCX,2018-05-08,2018-11-21,1,53,1,53,53,53
