song,line_type,album,song_order,date
Miss Americana & the Heartbreak Prince,song,Lover,1,2023-08-26
Cruel Summer,song,Lover,2,2023-08-26
The Man,song,Lover,3,2023-08-26
You Need to Calm Down,song,Lover,4,2023-08-26
Lover,song,Lover,5,2023-08-26
The Archer,song,Lover,6,2023-08-26
Fearless,song,Fearless,7,2023-08-26
You Belong With Me,song,Fearless,8,2023-08-26
Love Story,song,Fearless,9,2023-08-26
'tis the damn season,song,evermore,10,2023-08-26
willow,song,evermore,11,2023-08-26
marjorie,song,evermore,12,2023-08-26
champagne problems,song,evermore,13,2023-08-26
tolerate it,song,evermore,14,2023-08-26
...Ready for It?,song,reputation,15,2023-08-26
Delicate,song,reputation,16,2023-08-26
Don't Blame Me,song,reputation,17,2023-08-26
Look What You Made Me Do,song,reputation,18,2023-08-26
Enchanted,song,Speak Now,19,2023-08-26
Long Live,song,Speak Now,20,2023-08-26
Red - Intro,song,Red,21,2023-08-26
22,song,Red,22,2023-08-26
We Are Never Ever Getting Back Together,song,Red,23,2023-08-26
I Knew You Were Trouble,song,Red,24,2023-08-26
All Too Well,song,Red,25,2023-08-26
seven,song,folklore,26,2023-08-26
the 1,song,folklore,27,2023-08-26
betty,song,folklore,28,2023-08-26
the last great american dynasty,song,folklore,29,2023-08-26
august,song,folklore,30,2023-08-26
illicit affairs,song,folklore,31,2023-08-26
my tears ricochet,song,folklore,32,2023-08-26
cardigan,song,folklore,33,2023-08-26
Style,song,1989,34,2023-08-26
Blank Space,song,1989,35,2023-08-26
Shake It Off,song,1989,36,2023-08-26
Wildest Dreams,song,1989,37,2023-08-26
Bad Blood,song,1989,38,2023-08-26
Cornelia Street,song,Surprise Songs,39,2023-08-26
"You're on Your Own, Kid",song,Surprise Songs,40,2023-08-26
Lavender Haze,song,Midnights,41,2023-08-26
Anti‐Hero,song,Midnights,42,2023-08-26
Midnight Rain,song,Midnights,43,2023-08-26
Vigilante Shit,song,Midnights,44,2023-08-26
Bejeweled,song,Midnights,45,2023-08-26
Mastermind,song,Midnights,46,2023-08-26
Karma,song,Midnights,47,2023-08-26
