FATE4,FATE4desc,FATE4label
1,Outcome of Voyage for owner,Delivered slaves for original owners
2,Outcome of Voyage for owner,Original goal thwarted (natural hazard)
3,Outcome of Voyage for owner,Original goal thwarted (human agency)
4,Outcome of Voyage for owner,Unknown outcome
