FATE5,FATE5desc,FATE5label
1,African Resistance,Slave Insurrection
2,African Resistance,Vessel attacked from shore
3,African Resistance,Vessel’s boats attacked from shore
4,African Resistance,“Cut-off” (meaning unclear)
5,African Resistance,"Three of more slaves jumping overboard, missing, or escaped"
6,African Resistance,"Insurrection planned, but thwarted"
