FATE2,FATE2desc,FATE2label
1,NA,Slaves disembarked Americas
2,NA,No slaves embarked
3,NA,Slaves disembarked in Africa or Europe
4,NA,Slaves perished with ship
5,NA,"Slaves embarked, transshipped or no further record"
6,NA,No information on slaves
7,NA,Slaves embarked but not disembarked in Europe or America
