GW,SLR,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
001,300,Beaufort County,NC,PV1,655763665,0.1379,548503858,0.1153,1053794470,0.2216
001,300,Beaufort County,NC,PV3,334985901,0.1311,293060071,0.1147,521876133,0.2042
001,300,Beaufort County,NC,PV2,321822998,0.1457,256285336,0.1160,534681845,0.2421
102,0,Beaufort County,NC,PV1,989198954,0.2080,1057694185,0.2224,941727080,0.1980
102,0,Beaufort County,NC,PV3,511236946,0.2000,539579320,0.2111,526319318,0.2059
102,0,Beaufort County,NC,PV2,479525593,0.2171,519168779,0.2351,417122017,0.1889
102,25,Beaufort County,NC,PV1,953877186,0.2006,975804607,0.2052,876916540,0.1844
102,25,Beaufort County,NC,PV3,506215560,0.1981,510453791,0.1997,496790335,0.1944
102,25,Beaufort County,NC,PV2,449184806,0.2034,466436152,0.2112,381780131,0.1729
102,50,Beaufort County,NC,PV1,864804898,0.1819,952357485,0.2003,793734017,0.1669
102,50,Beaufort County,NC,PV3,457371382,0.1789,514414090,0.2013,453545887,0.1774
102,50,Beaufort County,NC,PV2,409012626,0.1852,439115612,0.1988,341801543,0.1548
102,100,Beaufort County,NC,PV1,766615800,0.1612,836622814,0.1759,690183500,0.1451
102,100,Beaufort County,NC,PV3,429171171,0.1679,455902209,0.1784,401889628,0.1572
102,100,Beaufort County,NC,PV2,338667599,0.1533,381911287,0.1729,289830093,0.1312
102,150,Beaufort County,NC,PV1,643169332,0.1353,707444078,0.1488,605624014,0.1274
102,150,Beaufort County,NC,PV3,369222454,0.1445,392813906,0.1537,355494657,0.1391
102,150,Beaufort County,NC,PV2,275044999,0.1245,315607752,0.1429,251561172,0.1139
102,200,Beaufort County,NC,PV1,499305317,0.1050,558367386,0.1174,544834830,0.1146
102,200,Beaufort County,NC,PV3,275667271,0.1079,299883666,0.1173,314064151,0.1229
102,200,Beaufort County,NC,PV2,224427338,0.1016,259431986,0.1175,232163409,0.1051
102,300,Beaufort County,NC,PV1,262708388,0.0552,261577599,0.0550,416426671,0.0876
102,300,Beaufort County,NC,PV3,139845326,0.0547,136229907,0.0533,247110100,0.0967
102,300,Beaufort County,NC,PV2,123560282,0.0559,125907914,0.0570,170674984,0.0773
205,0,Beaufort County,NC,PV1,1350865863,0.2841,1306580536,0.2748,1076460496,0.2264
205,0,Beaufort County,NC,PV3,754970079,0.2954,730244372,0.2857,669973753,0.2621
205,0,Beaufort County,NC,PV2,599371174,0.2714,578699485,0.2620,409022326,0.1852
205,25,Beaufort County,NC,PV1,1251025100,0.2631,1195472540,0.2514,1060219289,0.2230
205,25,Beaufort County,NC,PV3,702012188,0.2747,671395141,0.2627,661608145,0.2589
205,25,Beaufort County,NC,PV2,552419000,0.2501,526293033,0.2383,401134184,0.1816
205,50,Beaufort County,NC,PV1,1199903722,0.2523,1035971622,0.2179,1067766838,0.2246
205,50,Beaufort County,NC,PV3,678998766,0.2657,576332044,0.2255,676346960,0.2646
205,50,Beaufort County,NC,PV2,524227702,0.2373,461713096,0.2090,393946887,0.1784
205,100,Beaufort County,NC,PV1,1035631176,0.2178,839384534,0.1765,969729190,0.2039
205,100,Beaufort County,NC,PV3,581242904,0.2274,477211891,0.1867,620762922,0.2429
205,100,Beaufort County,NC,PV2,457606048,0.2072,363944614,0.1648,351552848,0.1592
205,150,Beaufort County,NC,PV1,985958817,0.2073,636326880,0.1338,912236470,0.1918
205,150,Beaufort County,NC,PV3,555790339,0.2175,359689314,0.1407,593153784,0.2321
205,150,Beaufort County,NC,PV2,433543662,0.1963,278092225,0.1259,321706094,0.1457
205,200,Beaufort County,NC,PV1,799313751,0.1681,466838880,0.0982,842534156,0.1772
205,200,Beaufort County,NC,PV3,448421707,0.1754,266991188,0.1045,557571319,0.2181
205,200,Beaufort County,NC,PV2,353801920,0.1602,201106985,0.0911,287381694,0.1301
205,300,Beaufort County,NC,PV1,801848813,0.1686,419324640,0.0882,831772869,0.1749
205,300,Beaufort County,NC,PV3,463208412,0.1812,254080278,0.0994,554815986,0.2171
205,300,Beaufort County,NC,PV2,341748398,0.1547,166378246,0.0753,279461415,0.1265
111,0,Bertie County,NC,PV1,2978725,0.0024,2978725,0.0024,2978725,0.0024
111,0,Bertie County,NC,PV3,774610,0.0011,774610,0.0011,774610,0.0011
111,0,Bertie County,NC,PV2,2217222,0.0039,2217222,0.0039,2217222,0.0039
111,25,Bertie County,NC,PV1,9729478,0.0078,9729478,0.0078,9729479,0.0078
111,25,Bertie County,NC,PV3,2453792,0.0036,2453792,0.0036,2453792,0.0036
111,25,Bertie County,NC,PV2,7288842,0.0128,7288842,0.0128,7288843,0.0128
111,50,Bertie County,NC,PV1,14418535,0.0116,14418535,0.0116,14418534,0.0116
111,50,Bertie County,NC,PV3,3754956,0.0056,3754956,0.0056,3754956,0.0056
111,50,Bertie County,NC,PV2,10675022,0.0188,10675022,0.0188,10675022,0.0188
111,100,Bertie County,NC,PV1,23024892,0.0185,23024892,0.0185,23024892,0.0185
111,100,Bertie County,NC,PV3,7324071,0.0108,7324071,0.0108,7324071,0.0108
111,100,Bertie County,NC,PV2,15715995,0.0276,15715995,0.0276,15715995,0.0276
111,150,Bertie County,NC,PV1,30910022,0.0249,30910022,0.0249,30910021,0.0249
111,150,Bertie County,NC,PV3,10497270,0.0155,10497270,0.0155,10497270,0.0155
111,150,Bertie County,NC,PV2,20441360,0.0359,20441359,0.0359,20441359,0.0359
111,200,Bertie County,NC,PV1,40226873,0.0323,40226873,0.0323,40226873,0.0323
111,200,Bertie County,NC,PV3,15523052,0.0230,15523051,0.0230,15523052,0.0230
111,200,Bertie County,NC,PV2,24739502,0.0435,24739502,0.0435,24739502,0.0435
111,300,Bertie County,NC,PV1,75053316,0.0604,75053316,0.0604,75053315,0.0604
111,300,Bertie County,NC,PV3,38391685,0.0568,38391685,0.0568,38391685,0.0568
111,300,Bertie County,NC,PV2,36709697,0.0645,36709697,0.0645,36709697,0.0645
000,0,Bertie County,NC,PV1,1251232,0.0010,887510,0.0007,2959159,0.0024
000,0,Bertie County,NC,PV3,93592,0.0001,49647,0.0001,632946,0.0009
000,0,Bertie County,NC,PV2,1157641,0.0020,837863,0.0015,2337470,0.0041
000,25,Bertie County,NC,PV1,1247641,0.0010,887180,0.0007,2950382,0.0024
000,25,Bertie County,NC,PV3,93592,0.0001,49645,0.0001,630296,0.0009
000,25,Bertie County,NC,PV2,1154049,0.0020,837535,0.0015,2331342,0.0041
000,50,Bertie County,NC,PV1,1245178,0.0010,895874,0.0007,2957987,0.0024
000,50,Bertie County,NC,PV3,94695,0.0001,50644,0.0001,632085,0.0009
000,50,Bertie County,NC,PV2,1150483,0.0020,845230,0.0015,2337159,0.0041
000,100,Bertie County,NC,PV1,1261327,0.0010,891855,0.0007,2941203,0.0024
000,100,Bertie County,NC,PV3,94196,0.0001,50273,0.0001,629690,0.0009
000,100,Bertie County,NC,PV2,1167131,0.0021,841582,0.0015,2322769,0.0041
000,150,Bertie County,NC,PV1,1252818,0.0010,894541,0.0007,2938525,0.0024
000,150,Bertie County,NC,PV3,93806,0.0001,49928,0.0001,630000,0.0009
000,150,Bertie County,NC,PV2,1159011,0.0020,844613,0.0015,2319782,0.0041
000,200,Bertie County,NC,PV1,1235156,0.0010,890616,0.0007,2926966,0.0024
000,200,Bertie County,NC,PV3,94154,0.0001,49942,0.0001,630678,0.0009
000,200,Bertie County,NC,PV2,1141002,0.0020,840674,0.0015,2307545,0.0041
000,300,Bertie County,NC,PV1,1079990,0.0009,877654,0.0007,2400836,0.0019
000,300,Bertie County,NC,PV3,90030,0.0001,52113,0.0001,624572,0.0009
000,300,Bertie County,NC,PV2,989961,0.0017,825541,0.0015,1787553,0.0031
001,0,Bertie County,NC,PV1,81983150,0.0659,39254744,0.0316,335947298,0.2702
001,0,Bertie County,NC,PV3,17911903,0.0265,7023206,0.0104,153368772,0.2269
001,0,Bertie County,NC,PV2,64124548,0.1126,32239410,0.0566,182923482,0.3213
001,25,Bertie County,NC,PV1,77815638,0.0626,36062714,0.0290,376062203,0.3024
001,25,Bertie County,NC,PV3,17632566,0.0261,7163839,0.0106,197841483,0.2927
001,25,Bertie County,NC,PV2,60240024,0.1058,28911046,0.0508,178504842,0.3136
001,50,Bertie County,NC,PV1,75688966,0.0609,34573331,0.0278,329265290,0.2648
001,50,Bertie County,NC,PV3,17840625,0.0264,7586065,0.0112,152703613,0.2259
001,50,Bertie County,NC,PV2,57912824,0.1017,27006835,0.0474,176919009,0.3108
001,100,Bertie County,NC,PV1,74103396,0.0596,33349924,0.0268,322995288,0.2597
001,100,Bertie County,NC,PV3,18500200,0.0274,8140204,0.0120,151117709,0.2235
001,100,Bertie County,NC,PV2,55674517,0.0978,25236787,0.0443,172178194,0.3024
001,150,Bertie County,NC,PV1,76354118,0.0614,34846987,0.0280,323963447,0.2605
001,150,Bertie County,NC,PV3,21944683,0.0325,10639786,0.0157,153404452,0.2269
001,150,Bertie County,NC,PV2,54477513,0.0957,24231006,0.0426,170859524,0.3001
001,200,Bertie County,NC,PV1,79918603,0.0643,38033043,0.0306,327054831,0.2630
001,200,Bertie County,NC,PV3,25637892,0.0379,13778562,0.0204,156577350,0.2316
001,200,Bertie County,NC,PV2,54349030,0.0955,24278244,0.0426,170778227,0.3000
