GW,SLR,Community,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
111,0,Washington,Beaufort County,NC,EM1,0,0.0000,0,0.0000,0,0.0000
111,0,Washington,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
111,0,Washington,Beaufort County,NC,EM3,0,0.0000,0,0.0000,0,0.0000
111,0,Washington,Beaufort County,NC,EM4,0,0.0000,0,0.0000,0,0.0000
111,0,Washington,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
111,0,Washington,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
111,0,Washington Park,Beaufort County,NC,EM1,0,0.0000,0,0.0000,0,0.0000
111,0,Washington Park,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
111,0,Washington Park,Beaufort County,NC,EM3,0,0.0000,0,0.0000,0,0.0000
111,0,Washington Park,Beaufort County,NC,EM4,0,0.0000,0,0.0000,0,0.0000
111,0,Washington Park,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
111,0,Washington Park,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
111,25,Aurora,Beaufort County,NC,EM1,0,0.0000,0,0.0000,0,0.0000
111,25,Aurora,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
111,25,Aurora,Beaufort County,NC,EM3,0,0.0000,0,0.0000,0,0.0000
111,25,Aurora,Beaufort County,NC,EM4,0,0.0000,0,0.0000,0,0.0000
111,25,Aurora,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
111,25,Aurora,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
111,25,Bath,Beaufort County,NC,EM1,0,0.0000,0,0.0000,0,0.0000
111,25,Bath,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
111,25,Bath,Beaufort County,NC,EM3,0,0.0000,0,0.0000,0,0.0000
111,25,Bath,Beaufort County,NC,EM4,0,0.0000,0,0.0000,0,0.0000
111,25,Bath,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
111,25,Bath,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
111,25,Bayview,Beaufort County,NC,EM1,0,0.0000,0,0.0000,0,0.0000
111,25,Bayview,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
111,25,Bayview,Beaufort County,NC,EM3,0,0.0000,0,0.0000,0,0.0000
111,25,Bayview,Beaufort County,NC,EM4,0,0.0000,0,0.0000,0,0.0000
111,25,Bayview,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
111,25,Bayview,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
111,25,Belhaven,Beaufort County,NC,EM1,0,0.0000,0,0.0000,0,0.0000
111,25,Belhaven,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
111,25,Belhaven,Beaufort County,NC,EM3,0,0.0000,0,0.0000,0,0.0000
111,25,Belhaven,Beaufort County,NC,EM4,0,0.0000,0,0.0000,0,0.0000
111,25,Belhaven,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
111,25,Belhaven,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
111,25,Chocowinity,Beaufort County,NC,EM1,0,0.0000,0,0.0000,0,0.0000
111,25,Chocowinity,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
111,25,Chocowinity,Beaufort County,NC,EM3,0,0.0000,0,0.0000,0,0.0000
111,25,Chocowinity,Beaufort County,NC,EM4,0,0.0000,0,0.0000,0,0.0000
111,25,Chocowinity,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
111,25,Chocowinity,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
111,25,Cypress Landing,Beaufort County,NC,EM1,0,0.0000,0,0.0000,0,0.0000
111,25,Cypress Landing,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
111,25,Cypress Landing,Beaufort County,NC,EM3,0,0.0000,0,0.0000,0,0.0000
111,25,Cypress Landing,Beaufort County,NC,EM4,0,0.0000,0,0.0000,0,0.0000
111,25,Cypress Landing,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
111,25,Cypress Landing,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
111,25,Pantego,Beaufort County,NC,EM1,0,0.0000,0,0.0000,0,0.0000
111,25,Pantego,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
111,25,Pantego,Beaufort County,NC,EM3,0,0.0000,0,0.0000,0,0.0000
111,25,Pantego,Beaufort County,NC,EM4,0,0.0000,0,0.0000,0,0.0000
111,25,Pantego,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
111,25,Pantego,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
111,25,Pinetown,Beaufort County,NC,EM1,0,0.0000,0,0.0000,0,0.0000
111,25,Pinetown,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
111,25,Pinetown,Beaufort County,NC,EM3,0,0.0000,0,0.0000,0,0.0000
111,25,Pinetown,Beaufort County,NC,EM4,0,0.0000,0,0.0000,0,0.0000
111,25,Pinetown,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
111,25,Pinetown,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
111,25,River Road,Beaufort County,NC,EM1,0,0.0000,0,0.0000,0,0.0000
111,25,River Road,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
111,25,River Road,Beaufort County,NC,EM3,0,0.0000,0,0.0000,0,0.0000
111,25,River Road,Beaufort County,NC,EM4,0,0.0000,0,0.0000,0,0.0000
111,25,River Road,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
111,25,River Road,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
111,25,Unincorporated Beaufort,Beaufort County,NC,EM1,8,0.0013,8,0.0013,8,0.0013
111,25,Unincorporated Beaufort,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
111,25,Unincorporated Beaufort,Beaufort County,NC,EM3,0,0.0000,0,0.0000,0,0.0000
111,25,Unincorporated Beaufort,Beaufort County,NC,EM4,8,0.0063,8,0.0063,8,0.0063
