GW,SLR,Community,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
111,25,Unincorporated Beaufort,Beaufort County,NC,PV3,49351337,0.0363,49351337,0.0363,49351337,0.0363
111,25,Unincorporated Beaufort,Beaufort County,NC,PV2,70983719,0.0443,70983719,0.0443,70983719,0.0443
111,25,Washington,Beaufort County,NC,PV1,3864007,0.0045,3864007,0.0045,3864007,0.0045
111,25,Washington,Beaufort County,NC,PV3,1845896,0.0030,1845896,0.0030,1845896,0.0030
111,25,Washington,Beaufort County,NC,PV2,2019466,0.0084,2019466,0.0084,2019466,0.0084
111,25,Washington Park,Beaufort County,NC,PV1,658306,0.0131,658306,0.0131,658306,0.0131
111,25,Washington Park,Beaufort County,NC,PV3,125262,0.0040,125262,0.0040,125262,0.0040
111,25,Washington Park,Beaufort County,NC,PV2,533044,0.0280,533044,0.0280,533044,0.0280
111,50,Aurora,Beaufort County,NC,PV1,680569,0.0215,680569,0.0215,680569,0.0215
111,50,Aurora,Beaufort County,NC,PV3,271235,0.0112,271235,0.0112,271235,0.0112
111,50,Aurora,Beaufort County,NC,PV2,409334,0.0543,409334,0.0543,409334,0.0543
111,50,Bath,Beaufort County,NC,PV1,4964352,0.0791,4964352,0.0791,4964352,0.0791
111,50,Bath,Beaufort County,NC,PV3,2212828,0.0668,2212828,0.0668,2212828,0.0668
111,50,Bath,Beaufort County,NC,PV2,2751524,0.0927,2751524,0.0927,2751524,0.0927
111,50,Bayview,Beaufort County,NC,PV1,14962597,0.2224,14962598,0.2224,14962598,0.2224
111,50,Bayview,Beaufort County,NC,PV3,5895913,0.2024,5895914,0.2024,5895914,0.2024
111,50,Bayview,Beaufort County,NC,PV2,9066683,0.2371,9066684,0.2371,9066684,0.2371
111,50,Belhaven,Beaufort County,NC,PV1,11276638,0.1076,11276638,0.1076,11276638,0.1076
111,50,Belhaven,Beaufort County,NC,PV3,4643979,0.0728,4643979,0.0728,4643979,0.0728
111,50,Belhaven,Beaufort County,NC,PV2,6632911,0.1612,6632911,0.1612,6632911,0.1612
111,50,Chocowinity,Beaufort County,NC,PV1,0,0.0000,0,0.0000,0,0.0000
111,50,Chocowinity,Beaufort County,NC,PV3,0,0.0000,0,0.0000,0,0.0000
111,50,Chocowinity,Beaufort County,NC,PV2,0,0.0000,0,0.0000,0,0.0000
111,50,Cypress Landing,Beaufort County,NC,PV1,1733996,0.0076,1733996,0.0076,1733996,0.0076
111,50,Cypress Landing,Beaufort County,NC,PV3,1228324,0.0073,1228324,0.0073,1228324,0.0073
111,50,Cypress Landing,Beaufort County,NC,PV2,505672,0.0086,505672,0.0086,505672,0.0086
111,50,Pantego,Beaufort County,NC,PV1,531145,0.0584,531145,0.0584,531145,0.0584
111,50,Pantego,Beaufort County,NC,PV3,285909,0.0431,285909,0.0431,285909,0.0431
111,50,Pantego,Beaufort County,NC,PV2,245235,0.0991,245235,0.0991,245235,0.0991
111,50,Pinetown,Beaufort County,NC,PV1,0,0.0000,0,0.0000,0,0.0000
