SS,SLR,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
001,300,Beaufort County,NC,LC4,57,0.2431,47,0.2005,158,0.6732
001,300,Beaufort County,NC,LC5,14,0.1917,10,0.1397,47,0.6375
001,300,Beaufort County,NC,LC6,127,0.5520,95,0.4129,198,0.8604
001,300,Beaufort County,NC,LC7,13,0.3168,9,0.2245,23,0.5926
020,0,Beaufort County,NC,LC2,9,0.4977,6,0.3611,12,0.6779
020,0,Beaufort County,NC,LC3,142,0.6273,61,0.2702,182,0.8021
020,0,Beaufort County,NC,LC4,75,0.3206,36,0.1541,178,0.7590
020,0,Beaufort County,NC,LC5,18,0.2481,7,0.0924,54,0.7275
020,0,Beaufort County,NC,LC6,161,0.6994,89,0.3870,204,0.8847
020,0,Beaufort County,NC,LC7,15,0.3732,9,0.2152,26,0.6520
020,25,Beaufort County,NC,LC2,9,0.5235,7,0.3795,12,0.6807
020,25,Beaufort County,NC,LC3,146,0.6449,69,0.3060,182,0.8034
020,25,Beaufort County,NC,LC4,77,0.3277,40,0.1724,178,0.7610
020,25,Beaufort County,NC,LC5,19,0.2554,8,0.1097,54,0.7303
020,25,Beaufort County,NC,LC6,163,0.7078,94,0.4080,204,0.8868
020,25,Beaufort County,NC,LC7,15,0.3889,9,0.2321,26,0.6558
020,50,Beaufort County,NC,LC2,10,0.5403,7,0.3989,12,0.6840
020,50,Beaufort County,NC,LC3,150,0.6599,77,0.3394,182,0.8046
020,50,Beaufort County,NC,LC4,78,0.3346,45,0.1929,179,0.7629
020,50,Beaufort County,NC,LC5,19,0.2622,10,0.1328,54,0.7325
020,50,Beaufort County,NC,LC6,165,0.7160,100,0.4349,205,0.8886
020,50,Beaufort County,NC,LC7,16,0.4041,10,0.2493,26,0.6600
020,100,Beaufort County,NC,LC2,10,0.5657,8,0.4453,12,0.6901
020,100,Beaufort County,NC,LC3,154,0.6814,100,0.4428,183,0.8070
020,100,Beaufort County,NC,LC4,82,0.3484,53,0.2248,179,0.7665
020,100,Beaufort County,NC,LC5,21,0.2778,12,0.1619,54,0.7360
020,100,Beaufort County,NC,LC6,168,0.7291,112,0.4880,205,0.8911
020,100,Beaufort County,NC,LC7,17,0.4356,12,0.2963,26,0.6671
020,150,Beaufort County,NC,LC2,10,0.5835,9,0.4981,12,0.6964
020,150,Beaufort County,NC,LC3,157,0.6927,129,0.5671,184,0.8096
020,150,Beaufort County,NC,LC4,85,0.3623,59,0.2514,180,0.7699
020,150,Beaufort County,NC,LC5,22,0.2925,14,0.1893,55,0.7398
020,150,Beaufort County,NC,LC6,171,0.7410,125,0.5421,206,0.8941
020,150,Beaufort County,NC,LC7,18,0.4603,14,0.3440,27,0.6740
020,200,Beaufort County,NC,LC2,11,0.5952,10,0.5437,12,0.7036
020,200,Beaufort County,NC,LC3,159,0.6999,145,0.6413,184,0.8136
020,200,Beaufort County,NC,LC4,87,0.3718,65,0.2765,181,0.7743
020,200,Beaufort County,NC,LC5,22,0.3035,16,0.2109,55,0.7441
020,200,Beaufort County,NC,LC6,174,0.7555,138,0.5972,207,0.8973
020,200,Beaufort County,NC,LC7,19,0.4818,15,0.3895,27,0.6815
020,300,Beaufort County,NC,LC2,11,0.6155,10,0.5852,13,0.7238
020,300,Beaufort County,NC,LC3,162,0.7126,155,0.6817,187,0.8245
020,300,Beaufort County,NC,LC4,91,0.3883,74,0.3148,184,0.7855
020,300,Beaufort County,NC,LC5,24,0.3211,19,0.2541,56,0.7533
020,300,Beaufort County,NC,LC6,178,0.7719,148,0.6422,210,0.9090
020,300,Beaufort County,NC,LC7,20,0.5078,18,0.4495,28,0.6991
100,0,Beaufort County,NC,LC2,10,0.5862,8,0.4774,13,0.7066
100,0,Beaufort County,NC,LC3,160,0.7050,119,0.5234,187,0.8242
100,0,Beaufort County,NC,LC4,102,0.4357,55,0.2360,186,0.7928
100,0,Beaufort County,NC,LC5,28,0.3748,12,0.1671,57,0.7651
100,0,Beaufort County,NC,LC6,177,0.7668,121,0.5228,207,0.9000
100,0,Beaufort County,NC,LC7,19,0.4793,13,0.3206,27,0.6862
100,25,Beaufort County,NC,LC2,11,0.5931,9,0.4905,13,0.7093
100,25,Beaufort County,NC,LC3,161,0.7092,127,0.5601,187,0.8253
100,25,Beaufort County,NC,LC4,103,0.4399,58,0.2468,186,0.7940
100,25,Beaufort County,NC,LC5,28,0.3795,13,0.1784,57,0.7662
100,25,Beaufort County,NC,LC6,178,0.7703,125,0.5403,208,0.9009
100,25,Beaufort County,NC,LC7,19,0.4879,13,0.3375,27,0.6886
100,50,Beaufort County,NC,LC2,11,0.5988,9,0.5121,13,0.7123
100,50,Beaufort County,NC,LC3,161,0.7124,135,0.5939,187,0.8265
100,50,Beaufort County,NC,LC4,104,0.4449,60,0.2580,186,0.7953
100,50,Beaufort County,NC,LC5,28,0.3848,14,0.1911,57,0.7676
100,50,Beaufort County,NC,LC6,178,0.7739,129,0.5614,208,0.9023
100,50,Beaufort County,NC,LC7,20,0.4969,14,0.3548,27,0.6912
100,100,Beaufort County,NC,LC2,11,0.6079,10,0.5475,13,0.7182
100,100,Beaufort County,NC,LC3,163,0.7192,146,0.6454,188,0.8298
100,100,Beaufort County,NC,LC4,106,0.4546,65,0.2797,187,0.7987
100,100,Beaufort County,NC,LC5,29,0.3962,16,0.2136,57,0.7709
100,100,Beaufort County,NC,LC6,181,0.7842,141,0.6121,209,0.9047
100,100,Beaufort County,NC,LC7,20,0.5129,15,0.3902,28,0.6974
100,150,Beaufort County,NC,LC2,11,0.6173,10,0.5697,13,0.7264
100,150,Beaufort County,NC,LC3,164,0.7246,152,0.6711,189,0.8340
100,150,Beaufort County,NC,LC4,108,0.4626,70,0.3010,188,0.8028
100,150,Beaufort County,NC,LC5,30,0.4039,17,0.2335,57,0.7746
100,150,Beaufort County,NC,LC6,183,0.7930,146,0.6314,209,0.9080
100,150,Beaufort County,NC,LC7,21,0.5253,17,0.4197,28,0.7049
100,200,Beaufort County,NC,LC2,11,0.6262,10,0.5838,13,0.7365
100,200,Beaufort County,NC,LC3,166,0.7315,155,0.6822,190,0.8385
100,200,Beaufort County,NC,LC4,110,0.4715,74,0.3152,189,0.8077
100,200,Beaufort County,NC,LC5,30,0.4114,19,0.2518,58,0.7789
100,200,Beaufort County,NC,LC6,184,0.7999,149,0.6464,211,0.9143
100,200,Beaufort County,NC,LC7,21,0.5354,18,0.4428,28,0.7135
100,300,Beaufort County,NC,LC2,11,0.6466,11,0.6046,14,0.7692
