SS,SLR,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
000,300,Beaufort County,NC,RE4,4828,0.4413,2476,0.2263,7205,0.6586
000,300,Beaufort County,NC,RE5,216,0.3033,137,0.1923,397,0.5576
000,300,Beaufort County,NC,RE6,100,0.3399,56,0.1900,163,0.5559
000,300,Beaufort County,NC,RE7,19,0.3998,12,0.2433,30,0.6210
000,300,Beaufort County,NC,RE8,833,0.2672,488,0.1565,1657,0.5315
000,300,Beaufort County,NC,RE2,937,0.2731,544,0.1584,1842,0.5365
000,300,Beaufort County,NC,RE20,9899,0.4109,6495,0.2696,14900,0.6185
000,300,Beaufort County,NC,RE21,7400,0.3808,4682,0.2410,11631,0.5986
000,300,Beaufort County,NC,RE22,2499,0.5363,1813,0.3890,3269,0.7015
001,0,Beaufort County,NC,RE1,2795,0.0626,211,0.0047,18735,0.4196
001,0,Beaufort County,NC,RE3,2264,0.0719,191,0.0061,13183,0.4186
001,0,Beaufort County,NC,RE4,429,0.0392,14,0.0013,4759,0.4350
001,0,Beaufort County,NC,RE5,37,0.0516,4,0.0050,296,0.4160
001,0,Beaufort County,NC,RE6,15,0.0508,0,0.0015,105,0.3583
001,0,Beaufort County,NC,RE7,3,0.0615,0,0.0015,19,0.3952
001,0,Beaufort County,NC,RE8,145,0.0464,8,0.0024,1155,0.3703
001,0,Beaufort County,NC,RE2,155,0.0451,9,0.0025,1271,0.3701
001,0,Beaufort County,NC,RE20,1657,0.0688,116,0.0048,10576,0.4390
001,0,Beaufort County,NC,RE21,1257,0.0647,99,0.0051,8194,0.4217
001,0,Beaufort County,NC,RE22,400,0.0858,16,0.0035,2382,0.5112
001,25,Beaufort County,NC,RE1,3616,0.0810,240,0.0054,19039,0.4264
001,25,Beaufort County,NC,RE3,2883,0.0916,218,0.0069,13424,0.4263
001,25,Beaufort County,NC,RE4,604,0.0552,16,0.0015,4818,0.4404
001,25,Beaufort County,NC,RE5,46,0.0642,4,0.0055,300,0.4217
001,25,Beaufort County,NC,RE6,17,0.0571,1,0.0018,108,0.3662
