SS,SLR,Community,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
000,25,Pantego,Beaufort County,NC,PV2,35642,0.0144,0,0.0000,784940,0.3171
000,25,Pinetown,Beaufort County,NC,PV1,0,0.0000,0,0.0000,416367,0.0713
000,25,Pinetown,Beaufort County,NC,PV3,0,0.0000,0,0.0000,164638,0.0549
000,25,Pinetown,Beaufort County,NC,PV2,0,0.0000,0,0.0000,251729,0.0885
000,25,River Road,Beaufort County,NC,PV1,10057988,0.0309,2740018,0.0084,127916154,0.3927
000,25,River Road,Beaufort County,NC,PV3,3976538,0.0221,1122325,0.0062,58173667,0.3237
000,25,River Road,Beaufort County,NC,PV2,6082801,0.0415,1617695,0.0110,69826575,0.4766
000,25,Unincorporated Beaufort,Beaufort County,NC,PV1,32506237,0.0110,2942696,0.0010,1104322728,0.3739
000,25,Unincorporated Beaufort,Beaufort County,NC,PV3,13878481,0.0102,1404768,0.0010,390313980,0.2875
000,25,Unincorporated Beaufort,Beaufort County,NC,PV2,18651149,0.0116,1539705,0.0010,715870220,0.4465
000,25,Washington,Beaufort County,NC,PV1,4048092,0.0047,1975748,0.0023,153986601,0.1795
000,25,Washington,Beaufort County,NC,PV3,1824860,0.0030,1018666,0.0016,102795277,0.1665
000,25,Washington,Beaufort County,NC,PV2,2224191,0.0092,957693,0.0040,51198188,0.2124
000,25,Washington Park,Beaufort County,NC,PV1,1105815,0.0221,538768,0.0107,19421728,0.3873
000,25,Washington Park,Beaufort County,NC,PV3,317741,0.0102,126933,0.0041,10847804,0.3487
000,25,Washington Park,Beaufort County,NC,PV2,788074,0.0414,411835,0.0216,8573924,0.4504
000,50,Aurora,Beaufort County,NC,PV1,713671,0.0226,0,0.0000,7790532,0.2464
000,50,Aurora,Beaufort County,NC,PV3,400637,0.0166,0,0.0000,5645090,0.2340
000,50,Aurora,Beaufort County,NC,PV2,313035,0.0415,0,0.0000,2146866,0.2849
000,50,Bath,Beaufort County,NC,PV1,3845978,0.0613,47966,0.0008,14691434,0.2340
000,50,Bath,Beaufort County,NC,PV3,1599785,0.0483,19709,0.0006,6184625,0.1868
000,50,Bath,Beaufort County,NC,PV2,2246193,0.0757,28257,0.0010,8506808,0.2867
000,50,Bayview,Beaufort County,NC,PV1,8076504,0.1200,0,0.0000,35525902,0.5280
000,50,Bayview,Beaufort County,NC,PV3,3118094,0.1071,0,0.0000,14860273,0.5103
000,50,Bayview,Beaufort County,NC,PV2,4958411,0.1297,0,0.0000,20669981,0.5406
000,50,Belhaven,Beaufort County,NC,PV1,4375978,0.0417,4302,0.0000,97756101,0.9326
000,50,Belhaven,Beaufort County,NC,PV3,1714151,0.0269,516,0.0000,58837775,0.9230
000,50,Belhaven,Beaufort County,NC,PV2,2661858,0.0647,3786,0.0001,39007175,0.9477
000,50,Chocowinity,Beaufort County,NC,PV1,0,0.0000,0,0.0000,776769,0.0134
000,50,Chocowinity,Beaufort County,NC,PV3,0,0.0000,0,0.0000,609530,0.0150
000,50,Chocowinity,Beaufort County,NC,PV2,0,0.0000,0,0.0000,167239,0.0093
000,50,Cypress Landing,Beaufort County,NC,PV1,1898610,0.0083,15767,0.0001,9054280,0.0396
000,50,Cypress Landing,Beaufort County,NC,PV3,1247036,0.0074,10272,0.0001,6555457,0.0387
000,50,Cypress Landing,Beaufort County,NC,PV2,651575,0.0110,5495,0.0001,2498823,0.0423
000,50,Pantego,Beaufort County,NC,PV1,665610,0.0732,0,0.0000,2307862,0.2537
000,50,Pantego,Beaufort County,NC,PV3,368864,0.0556,0,0.0000,1480598,0.2231
000,50,Pantego,Beaufort County,NC,PV2,303222,0.1225,0,0.0000,837715,0.3385
000,50,Pinetown,Beaufort County,NC,PV1,0,0.0000,0,0.0000,416367,0.0713
000,50,Pinetown,Beaufort County,NC,PV3,0,0.0000,0,0.0000,164638,0.0549
000,50,Pinetown,Beaufort County,NC,PV2,0,0.0000,0,0.0000,251729,0.0885
000,50,River Road,Beaufort County,NC,PV1,19325999,0.0593,2740018,0.0084,150685014,0.4626
000,50,River Road,Beaufort County,NC,PV3,7663876,0.0426,1122325,0.0062,69688957,0.3878
