SS,SLR,Community,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
000,0,Washington,Beaufort County,NC,EM1,0,0.0000,0,0.0000,829,0.0731
000,0,Washington,Beaufort County,NC,EM2,0,0.0000,0,0.0000,392,0.0871
000,0,Washington,Beaufort County,NC,EM3,0,0.0000,0,0.0000,36,0.0172
000,0,Washington,Beaufort County,NC,EM4,0,0.0000,0,0.0000,263,0.0920
000,0,Washington,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
000,0,Washington,Beaufort County,NC,EM6,0,0.0000,0,0.0000,138,0.0736
000,0,Washington Park,Beaufort County,NC,EM1,0,0.0000,0,0.0000,4,0.1250
000,0,Washington Park,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
000,0,Washington Park,Beaufort County,NC,EM3,0,0.0000,0,0.0000,4,0.2105
000,0,Washington Park,Beaufort County,NC,EM4,0,0.0000,0,0.0000,0,0.0000
000,0,Washington Park,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
000,0,Washington Park,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
000,25,Aurora,Beaufort County,NC,EM1,0,0.0000,0,0.0000,6,0.0513
000,25,Aurora,Beaufort County,NC,EM2,0,0.0000,0,0.0000,6,0.1034
000,25,Aurora,Beaufort County,NC,EM3,0,0.0000,0,0.0000,0,0.0000
000,25,Aurora,Beaufort County,NC,EM4,0,0.0000,0,0.0000,0,0.0000
000,25,Aurora,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
000,25,Aurora,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
000,25,Bath,Beaufort County,NC,EM1,0,0.0000,0,0.0000,0,0.0000
000,25,Bath,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
000,25,Bath,Beaufort County,NC,EM3,0,0.0000,0,0.0000,0,0.0000
000,25,Bath,Beaufort County,NC,EM4,0,0.0000,0,0.0000,0,0.0000
000,25,Bath,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
000,25,Bath,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
000,25,Bayview,Beaufort County,NC,EM1,0,0.0000,0,0.0000,3,0.0366
000,25,Bayview,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
000,25,Bayview,Beaufort County,NC,EM3,0,0.0000,0,0.0000,0,0.0000
000,25,Bayview,Beaufort County,NC,EM4,0,0.0000,0,0.0000,0,0.0000
000,25,Bayview,Beaufort County,NC,EM5,0,0.0000,0,0.0000,3,1.0000
000,25,Bayview,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
000,25,Belhaven,Beaufort County,NC,EM1,0,0.0000,0,0.0000,370,0.6607
000,25,Belhaven,Beaufort County,NC,EM2,0,0.0000,0,0.0000,150,0.7576
000,25,Belhaven,Beaufort County,NC,EM3,0,0.0000,0,0.0000,34,0.9189
000,25,Belhaven,Beaufort County,NC,EM4,0,0.0000,0,0.0000,144,0.6400
000,25,Belhaven,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
000,25,Belhaven,Beaufort County,NC,EM6,0,0.0000,0,0.0000,42,0.4200
000,25,Chocowinity,Beaufort County,NC,EM1,0,0.0000,0,0.0000,0,0.0000
000,25,Chocowinity,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
000,25,Chocowinity,Beaufort County,NC,EM3,0,0.0000,0,0.0000,0,0.0000
000,25,Chocowinity,Beaufort County,NC,EM4,0,0.0000,0,0.0000,0,0.0000
000,25,Chocowinity,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
000,25,Chocowinity,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
000,25,Cypress Landing,Beaufort County,NC,EM1,0,0.0000,0,0.0000,0,0.0000
000,25,Cypress Landing,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
000,25,Cypress Landing,Beaufort County,NC,EM3,0,0.0000,0,0.0000,0,0.0000
000,25,Cypress Landing,Beaufort County,NC,EM4,0,0.0000,0,0.0000,0,0.0000
000,25,Cypress Landing,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
000,25,Cypress Landing,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
000,25,Pantego,Beaufort County,NC,EM1,0,0.0000,0,0.0000,82,0.2971
000,25,Pantego,Beaufort County,NC,EM2,0,0.0000,0,0.0000,60,1.0000
000,25,Pantego,Beaufort County,NC,EM3,0,0.0000,0,0.0000,14,0.0824
000,25,Pantego,Beaufort County,NC,EM4,0,0.0000,0,0.0000,2,0.1429
000,25,Pantego,Beaufort County,NC,EM5,0,0.0000,0,0.0000,2,0.0714
000,25,Pantego,Beaufort County,NC,EM6,0,0.0000,0,0.0000,4,1.0000
000,25,Pinetown,Beaufort County,NC,EM1,0,0.0000,0,0.0000,0,0.0000
000,25,Pinetown,Beaufort County,NC,EM2,0,0.0000,0,0.0000,0,0.0000
000,25,Pinetown,Beaufort County,NC,EM3,0,0.0000,0,0.0000,0,0.0000
000,25,Pinetown,Beaufort County,NC,EM4,0,0.0000,0,0.0000,0,0.0000
000,25,Pinetown,Beaufort County,NC,EM5,0,0.0000,0,0.0000,0,0.0000
000,25,Pinetown,Beaufort County,NC,EM6,0,0.0000,0,0.0000,0,0.0000
000,25,River Road,Beaufort County,NC,EM1,0,0.0000,0,0.0000,48,0.0886
000,25,River Road,Beaufort County,NC,EM2,0,0.0000,0,0.0000,3,0.0667
000,25,River Road,Beaufort County,NC,EM3,0,0.0000,0,0.0000,9,0.0677
000,25,River Road,Beaufort County,NC,EM4,0,0.0000,0,0.0000,26,0.1221
000,25,River Road,Beaufort County,NC,EM5,0,0.0000,0,0.0000,3,1.0000
000,25,River Road,Beaufort County,NC,EM6,0,0.0000,0,0.0000,7,0.0473
000,25,Unincorporated Beaufort,Beaufort County,NC,EM1,0,0.0000,0,0.0000,1233,0.1966
000,25,Unincorporated Beaufort,Beaufort County,NC,EM2,0,0.0000,0,0.0000,414,0.2259
000,25,Unincorporated Beaufort,Beaufort County,NC,EM3,0,0.0000,0,0.0000,313,0.2572
