SS,SLR,Community,County,State,DBcode,Haz_value,Haz_pct,Min_value,Min_pct,Max_value,Max_pct
000,0,Unincorporated Beaufort,Beaufort County,NC,LC6,1.6005,0.0071,0.6595,0.0029,157.1302,0.6983
000,0,Unincorporated Beaufort,Beaufort County,NC,LC7,0.0302,0.0009,0.0153,0.0004,9.0216,0.2627
000,0,Washington,Beaufort County,NC,LC2,0.0184,0.0052,0.0184,0.0052,0.6849,0.1919
000,0,Washington,Beaufort County,NC,LC3,0.0003,0.0003,0.0003,0.0003,0.1522,0.1521
000,0,Washington,Beaufort County,NC,LC4,0.0000,0.0000,0.0000,0.0000,0.0692,0.1160
000,0,Washington,Beaufort County,NC,LC5,0.0010,0.0053,0.0010,0.0053,0.0316,0.1596
000,0,Washington,Beaufort County,NC,LC6,0.0431,0.0390,0.0427,0.0387,0.8086,0.7320
000,0,Washington,Beaufort County,NC,LC7,0.0045,0.0026,0.0045,0.0026,0.3155,0.1791
000,0,Washington Park,Beaufort County,NC,LC2,0.0000,0.0000,0.0000,0.0000,0.0181,0.2512
000,0,Washington Park,Beaufort County,NC,LC3,0.0000,0.0000,0.0000,0.0000,0.0003,0.5000
000,0,Washington Park,Beaufort County,NC,LC4,0.0000,0.0000,0.0000,0.0000,0.0076,0.4681
000,0,Washington Park,Beaufort County,NC,LC5,0.0003,0.0227,0.0003,0.0227,0.0059,0.3864
000,0,Washington Park,Beaufort County,NC,LC6,0.0003,0.0091,0.0003,0.0091,0.0243,0.6364
000,0,Washington Park,Beaufort County,NC,LC7,0.0000,0.0000,0.0000,0.0000,0.0379,0.3215
000,25,Aurora,Beaufort County,NC,LC2,0.0003,0.0015,0.0000,0.0000,0.0288,0.1221
000,25,Aurora,Beaufort County,NC,LC3,0.0000,0.0000,0.0000,0.0000,0.0546,0.3829
000,25,Aurora,Beaufort County,NC,LC4,0.0000,0.0000,0.0000,0.0000,0.0594,0.4777
000,25,Aurora,Beaufort County,NC,LC5,0.0000,0.0000,0.0000,0.0000,0.0198,0.3132
000,25,Aurora,Beaufort County,NC,LC6,0.0174,0.1147,0.0000,0.0000,0.1393,0.9197
000,25,Aurora,Beaufort County,NC,LC7,0.0003,0.0015,0.0000,0.0000,0.0577,0.2474
000,25,Bath,Beaufort County,NC,LC2,0.0063,0.0604,0.0056,0.0537,0.0118,0.1141
000,25,Bath,Beaufort County,NC,LC3,0.0010,0.0098,0.0000,0.0000,0.0059,0.0556
000,25,Bath,Beaufort County,NC,LC4,0.0007,0.0690,0.0000,0.0000,0.0017,0.1724
000,25,Bath,Beaufort County,NC,LC5,0.0003,0.0357,0.0000,0.0000,0.0042,0.4286
000,25,Bath,Beaufort County,NC,LC6,0.0136,0.3197,0.0017,0.0410,0.0309,0.7295
000,25,Bath,Beaufort County,NC,LC7,0.0017,0.0171,0.0000,0.0000,0.0076,0.0753
