ER,SLR,Community,County,State,DBcode,ELA_value,ELA_pct,ELNA_value,ELNA_pct,ENLA_value,ENLA_pct,ENLNA_value,ENLNA_pct
000,200,Sunset Beach,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,200,Unincorporated Brunswick,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,300,Bald Head Island,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,300,Caswell Beach,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,300,Holden Beach,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,300,Oak Island,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,300,Ocean Isle Beach,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,300,Sunset Beach,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000,300,Unincorporated Brunswick,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,000,Bald Head Island,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,000,Caswell Beach,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,000,Holden Beach,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,000,Oak Island,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,000,Ocean Isle Beach,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,000,Sunset Beach,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,000,Unincorporated Brunswick,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,025,Bald Head Island,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,025,Caswell Beach,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,025,Holden Beach,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,025,Oak Island,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,025,Ocean Isle Beach,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,025,Sunset Beach,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,025,Unincorporated Brunswick,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,050,Bald Head Island,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,050,Caswell Beach,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,050,Holden Beach,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,050,Oak Island,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,050,Ocean Isle Beach,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,050,Sunset Beach,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,050,Unincorporated Brunswick,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,100,Bald Head Island,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,100,Caswell Beach,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,100,Holden Beach,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,100,Oak Island,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,100,Ocean Isle Beach,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,100,Sunset Beach,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,100,Unincorporated Brunswick,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,150,Bald Head Island,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,150,Caswell Beach,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,150,Holden Beach,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,150,Oak Island,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,150,Ocean Isle Beach,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,150,Sunset Beach,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,150,Unincorporated Brunswick,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,200,Bald Head Island,Brunswick County,NC,RL1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
