ER,SLR,County,State,DBcode,ELA_value,ELA_pct,ELNA_value,ELNA_pct,ENLA_value,ENLA_pct,ENLNA_value,ENLNA_pct
100,150,Brunswick County,NC,LC3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,150,Brunswick County,NC,LC4,0,0.0000,0,0.0000,0,0.0003,0,0.0004
100,150,Brunswick County,NC,LC5,0,0.0000,0,0.0000,0,0.0015,0,0.0019
100,150,Brunswick County,NC,LC6,0,0.0000,0,0.0000,0,0.0010,0,0.0014
100,150,Brunswick County,NC,LC7,1,0.0289,1,0.0287,2,0.0577,3,0.0626
100,200,Brunswick County,NC,LC2,0,0.0021,0,0.0021,3,0.0676,3,0.0781
100,200,Brunswick County,NC,LC3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,200,Brunswick County,NC,LC4,0,0.0000,0,0.0000,0,0.0006,0,0.0007
100,200,Brunswick County,NC,LC5,0,0.0000,0,0.0000,0,0.0024,0,0.0026
100,200,Brunswick County,NC,LC6,0,0.0000,0,0.0000,1,0.0025,1,0.0033
100,200,Brunswick County,NC,LC7,1,0.0287,1,0.0287,3,0.0656,3,0.0692
100,300,Brunswick County,NC,LC2,0,0.0021,0,0.0021,4,0.0985,4,0.1050
100,300,Brunswick County,NC,LC3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
100,300,Brunswick County,NC,LC4,0,0.0000,0,0.0000,0,0.0013,0,0.0016
100,300,Brunswick County,NC,LC5,0,0.0000,0,0.0000,0,0.0034,0,0.0035
100,300,Brunswick County,NC,LC6,0,0.0000,0,0.0000,3,0.0076,3,0.0088
100,300,Brunswick County,NC,LC7,1,0.0287,1,0.0287,3,0.0746,3,0.0769
000,000,Carteret County,NC,LC2,0,0.0002,0,0.0002,0,0.0001,0,0.0001
000,000,Carteret County,NC,LC3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Carteret County,NC,LC4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Carteret County,NC,LC5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,000,Carteret County,NC,LC6,0,0.0004,0,0.0004,0,0.0004,0,0.0004
000,000,Carteret County,NC,LC7,1,0.0228,1,0.0228,1,0.0221,1,0.0221
000,025,Carteret County,NC,LC2,0,0.0002,0,0.0003,0,0.0003,0,0.0005
000,025,Carteret County,NC,LC3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Carteret County,NC,LC4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Carteret County,NC,LC5,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,025,Carteret County,NC,LC6,0,0.0006,0,0.0006,0,0.0006,0,0.0006
000,025,Carteret County,NC,LC7,2,0.0641,2,0.0668,2,0.0706,2,0.0736
000,050,Carteret County,NC,LC2,0,0.0008,0,0.0029,0,0.0017,0,0.0052
000,050,Carteret County,NC,LC3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Carteret County,NC,LC4,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,050,Carteret County,NC,LC5,0,0.0000,0,0.0000,0,0.0001,0,0.0001
000,050,Carteret County,NC,LC6,0,0.0006,0,0.0006,0,0.0007,0,0.0007
000,050,Carteret County,NC,LC7,2,0.0831,2,0.0887,3,0.1185,3,0.1246
000,100,Carteret County,NC,LC2,0,0.0043,0,0.0044,0,0.0171,1,0.0393
000,100,Carteret County,NC,LC3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,100,Carteret County,NC,LC4,0,0.0000,0,0.0000,0,0.0000,0,0.0001
000,100,Carteret County,NC,LC5,0,0.0000,0,0.0000,0,0.0006,0,0.0007
000,100,Carteret County,NC,LC6,0,0.0006,0,0.0007,1,0.0025,1,0.0025
000,100,Carteret County,NC,LC7,3,0.0983,3,0.0992,5,0.1877,5,0.1920
000,150,Carteret County,NC,LC2,0,0.0044,0,0.0044,1,0.0688,2,0.0952
000,150,Carteret County,NC,LC3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,150,Carteret County,NC,LC4,0,0.0000,0,0.0000,0,0.0003,0,0.0007
000,150,Carteret County,NC,LC5,0,0.0000,0,0.0000,0,0.0031,0,0.0041
000,150,Carteret County,NC,LC6,0,0.0007,0,0.0007,2,0.0074,2,0.0074
000,150,Carteret County,NC,LC7,3,0.1036,3,0.1033,6,0.2297,6,0.2332
000,200,Carteret County,NC,LC2,0,0.0044,0,0.0044,2,0.1127,2,0.1374
000,200,Carteret County,NC,LC3,0,0.0000,0,0.0000,0,0.0000,0,0.0000
000,200,Carteret County,NC,LC4,0,0.0000,0,0.0000,0,0.0014,0,0.0020
000,200,Carteret County,NC,LC5,0,0.0000,0,0.0000,0,0.0063,0,0.0072
000,200,Carteret County,NC,LC6,0,0.0007,0,0.0008,3,0.0122,3,0.0123
